[2023-12-22 10:18:11,797: INFO: main: Welcome to our custom log]
[2023-12-22 19:17:44,233: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:17:44,247: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:24:40,519: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:24:40,523: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:24:43,231: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:24:43,238: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:26:22,000: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:26:22,006: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:26:25,422: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:26:25,422: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:27:06,348: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 19:27:06,368: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 19:27:06,376: INFO: common: created directory at: artifacts]
[2023-12-22 19:27:06,376: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-22 19:27:06,385: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1LZ4NoTTnbehh8Oee9mAyRJKGufsaHi1C/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-22 19:27:20,227: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1LZ4NoTTnbehh8Oee9mAyRJKGufsaHi1C/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-22 21:23:37,099: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-12-22 21:23:37,115: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-22 21:23:37,116: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-22 21:23:37,116: INFO: common: created directory at: artifacts]
[2023-12-22 21:23:37,118: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-22 21:23:37,118: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1LZ4NoTTnbehh8Oee9mAyRJKGufsaHi1C/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-22 21:23:47,933: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1LZ4NoTTnbehh8Oee9mAyRJKGufsaHi1C/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-22 21:23:48,614: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
